prediction_gender,probability,status/day,status count,favorite count,follow/friend,follower count,gender
m,0.75,6.217986577,23162,803,1.73070632,11639,male
m,0.75,8.57120743,16611,5290,0.805225653,1356,female
m,0.95,5.196178779,15230,160,3.128712871,948,male
m,0.75,32.11212121,105970,2989,1.912234043,719,female
m,0.95,15.98627787,37280,6093,0.750123457,1519,male
m,0.95,4.519630485,11742,106,0.241480039,248,male
m,0.75,2.555697008,4015,9037,1.415525114,930,female
m,0.75,5.189399844,6658,7678,1.008978676,1798,male
m,0.95,3.089645079,8444,269,0.55493296,2773,male
f,0.95,2.209947644,4221,6473,0.571125265,269,female
f,0.75,0,0,371,0.835820896,56,female
m,0.95,77.91109785,261158,21,1.707142857,239,male
m,0.75,0.120242215,139,212,0.918604651,79,female
f,0.75,0.876319759,2905,1223,0.259212198,204,female
m,0.75,30.1876144,98955,2866,2.482298317,4277,male
m,0.95,52.28363123,111155,3500,1.198380567,296,male
m,0.95,0.927053418,3228,1098,1.134541985,1189,male
m,0.75,63.26116146,188455,443,1.325380502,3222,male
f,0.75,9.486272117,15548,3078,1.277456647,442,male
m,0.75,3.841496336,9961,1969,0.306122449,270,male
f,0.75,46.30992869,84423,15463,0.699739427,3491,female
m,0.75,1.001715266,2336,1372,0.917582418,334,male
f,0.75,13.20183853,33031,28801,1.067099567,493,female
m,0.95,0.316648531,582,1325,0.382022472,34,male
f,0.75,26.10721966,84979,6158,4.655737705,568,female
f,0.75,9.071764706,23133,1287,1.129810502,13534,female
f,0.75,45.3185563,115517,264,5.85883905,4441,male
m,0.95,7.166666667,18103,8029,1.34214619,863,female
f,0.75,2.190500774,4243,4113,1.510204082,222,female
m,0.75,9.602286049,32763,16520,2.074525745,1531,male
m,0.75,0.437421515,1045,1902,1.6875,108,female
m,0.95,2.247691016,5354,1120,0.664495114,204,male
f,0.95,29.68747382,70864,17475,1.893948846,3036,female
f,0.95,26.70342523,63928,14340,5.245579568,2670,female
f,0.95,0.074137342,217,1266,0.157480315,20,male
f,0.95,19.71705964,42648,18892,0.744067797,1317,female
m,0.75,43.79138514,103698,42938,1.14184953,1457,male
m,0.75,0.805107527,2396,11,17.52727273,964,female
m,0.75,8.93490099,36097,26046,1.599785982,2990,female
f,0.95,0.956887487,910,1131,0.978042086,1069,female
f,0.95,9.542393509,23522,3213,1.49143173,2698,female
m,0.75,0.035175879,7,0,0,3,female
f,0.95,3.616593886,8282,5555,1.195608782,599,female
m,0.75,3.76129666,3829,535,0.355742297,508,male
f,0.75,6.669849246,13273,16774,11.53846154,2400,male
m,0.75,0.002389486,2,4,0.45,18,male
m,0.95,63.53719434,246842,55365,22.4537246,9947,male
