@relation stream

@attribute text_prediction numeric
@attribute name_prediction numeric
@attribute status/day numeric
@attribute favorite/day numeric
@attribute gender {male,female}

@data
0.479189,0.02,12.684647,0.00166,female
0.5,0.04,0.861519,1.613274,female
0.302308,0.02,1.452562,1.129032,female
0.079059,0.99,47.617184,60.484873,male
0.832343,0.5,2.198234,0.015249,male
0.036779,0.8,18.884339,11.842972,female
0.904638,0.99,0.902774,0.303674,male
0.696607,0.99,11.002545,2.74402,male
0.101455,0.5,22.714926,8.345932,male
0.062493,0.98,9.489674,7.561957,male
0.147861,0.02,3.356575,1.706973,female
0.5,0.86,2.197842,0.116906,female
0.258322,0.79,3.146574,0.20902,male
0.732251,0.77,2.820654,0.612534,female
0.841845,1,8.134656,0.846208,male
0.085855,0.5,3.154154,0.124308,female
0.435625,0.99,89.193209,3.281494,male
0.893308,0.98,8.310115,0.083889,male
0.037079,0.5,16.709807,3.45206,male
0.312249,0.99,2.861951,2.181053,male
0.126077,0.71,22.242216,6.493713,male
0.794051,0.5,83.549841,0,female
0.147079,0.98,1.650929,0.360403,male
0.062529,0.99,4.751138,1.236115,male
0.160934,0.87,36.237643,4.294583,male
0.833869,0.5,33.76246,0,female
0.172701,0.99,3.172893,1.564655,male
0.072495,0.32,12.568513,40.387755,female
0.012712,0.99,45.427338,1.219185,male
0.152836,0.5,31.233056,24.114943,female
0.141394,0.02,6.9207,6.877103,female
0.087003,0.89,1.958719,0.030249,female
0.937841,0.98,9.613041,0.006881,male
0.297542,0.69,67.870968,43.048387,male
0.397554,0.02,71.977763,0.000996,female
0.483927,0.78,6.664407,4.245763,male
0.769111,0.5,84.367444,0,female
0.574936,0.55,0.002541,0,female
0.08743,0.5,18.155279,2.751996,male
0.07482,0.58,28.39418,13.425926,male
0.416149,0.02,63.705077,0.018533,female
0.221122,0.99,1.231343,1.785075,male
0.045907,0.5,1.663924,0.698418,female
0.11594,0.06,2.196096,0.751351,female
0.134947,0.5,5.001957,0.452707,female
0.772991,0.97,0.631034,0.006207,male
0.08927,0.01,1.204717,2.391594,female
0.000163,0.99,4.12766,11.760638,male
0.5,0.02,39.337154,11.495617,female
0.5,0.99,0.066288,0.101515,male
0.98695,0.5,85.900582,0,female
0.395466,0.12,0.23631,0.059524,female
0.112779,0.99,10.456279,22.26693,male
0.656288,0.91,33.692308,0.139589,male
0.180345,0.93,3.24751,0.199517,female
0.203523,0.5,2.800247,0,female
0.121602,0.03,16.591732,8.117984,female
0.000099,0.02,0.006897,0,male
0.275101,0.98,9.102851,3.380971,male
0.123496,0.02,19.476467,7.436493,female
0.100357,0.03,0.315947,0.224027,female
0.5,1,1.898978,1.468218,male
0.48355,0.99,2.550652,0.314658,male
0.044272,0.88,0.630938,0.144336,male
0.096394,0.5,0.939447,3.615681,male
0.508478,0.61,6.683869,3.003708,male
0.5,0.72,34.859161,8.516115,male
0.31841,0.5,22.271717,21.09798,female
0.309781,0.72,0.132469,0.039597,female
0.198675,0.99,11.597006,0.000306,male
0.807598,0.59,5.934347,1.173556,male
0.224938,0.03,20.463492,10.520635,female
0.154814,0.89,4.116676,1.4612,male
0.985516,0.5,74.734921,0,female
0.5,0.96,2.860619,1.327434,male
0.14928,0.99,2.771483,0.806844,male
0.249389,0.5,2.035671,0.043765,male
0.056021,0.74,1.242596,3.169168,female
0.111031,0.5,30.468177,14.827041,male
0.223447,0.13,1.397037,0.073481,female
0.086043,0.02,3.861991,9.038462,female
0.511991,0.5,3.458788,1.290963,male
0.5,0.96,1.694083,2.671598,male
0.189383,0.99,52.261823,0.000343,male
